iter	Logloss
0	0.6885600519
1	0.6853736868
2	0.6824459567
3	0.6795912544
4	0.6775503879
5	0.67516409
6	0.6738007902
7	0.6718976778
8	0.6700736002
9	0.668698354
10	0.66750642
11	0.6662662956
12	0.6654625163
13	0.6644549743
14	0.6633231769
15	0.6622242488
16	0.6614679849
17	0.6605942824
18	0.6599132061
19	0.6588220398
20	0.6582212132
21	0.6575437141
22	0.6568829534
23	0.6560573737
24	0.6553678608
25	0.6545779852
26	0.6535268424
27	0.653043117
28	0.6524470824
29	0.6519748309
30	0.6513960747
31	0.6508142138
32	0.6501761309
33	0.6496392206
34	0.649115944
35	0.6486930301
36	0.6481317547
37	0.6474374498
38	0.6470945831
39	0.6466093053
40	0.6460470175
41	0.6453153887
42	0.6447080828
43	0.6440350383
44	0.6434734254
45	0.6431819213
46	0.6425906113
47	0.6422966774
48	0.6419079827
49	0.6413414428
50	0.6408949737
51	0.640265665
52	0.6397555496
53	0.6391455439
54	0.6385459323
55	0.6380761779
56	0.637546287
57	0.6370327295
58	0.6365774187
59	0.6362014128
60	0.6355430144
61	0.6350782546
62	0.6346986715
63	0.6343583696
64	0.6338995493
65	0.6334569948
66	0.6329806936
67	0.6325823474
68	0.6317940916
69	0.6313990525
70	0.6308447289
71	0.6303616784
72	0.629800133
73	0.6295373136
74	0.6291979566
75	0.6285554866
76	0.6282961094
77	0.6278510576
78	0.6273612578
79	0.626772985
80	0.6263603302
81	0.6257473548
82	0.6254146797
83	0.6248879609
84	0.6244090275
85	0.623776479
86	0.6231842241
87	0.622131529
88	0.6216265432
89	0.6209532287
90	0.6203010396
91	0.6200787837
92	0.6194905785
93	0.619022579
94	0.6182055035
95	0.6173897103
96	0.6167100514
97	0.616087762
98	0.6154677673
99	0.6150721208
100	0.6145605206
101	0.6134643597
102	0.6127934075
103	0.6119516293
104	0.6111105937
105	0.6105460786
106	0.6097582277
107	0.6089836731
108	0.6082552164
109	0.607504352
110	0.6068138941
111	0.6060923218
112	0.6052883401
113	0.6048177083
114	0.6040802751
115	0.603403046
116	0.6022382443
117	0.601038481
118	0.6001549919
119	0.5996818629
120	0.5987984414
121	0.5980691748
122	0.5970102028
123	0.596171057
124	0.5954908581
125	0.5946916009
126	0.5940241583
127	0.5933261412
128	0.5924799086
129	0.5917143305
130	0.5910589018
131	0.5902530302
132	0.5895799182
133	0.5890852588
134	0.5882466529
135	0.5874648764
136	0.5864794048
137	0.5857818601
138	0.5852805189
139	0.5845813544
140	0.5838183412
141	0.5829965411
142	0.5823459719
143	0.5817708603
144	0.5812322627
145	0.5805067083
146	0.5798143607
147	0.5791419236
148	0.5782697734
149	0.577570339
150	0.5769056636
151	0.5763063219
152	0.5756816027
153	0.5751401029
154	0.574460444
155	0.5737455535
156	0.5729293554
157	0.5723568086
158	0.571644213
159	0.5711692617
160	0.5703099352
161	0.5697047891
162	0.5688233249
163	0.5683024105
164	0.5677589534
165	0.5667648426
166	0.5663573848
167	0.5655578575
168	0.5648985479
169	0.5643490164
170	0.5638254023
171	0.5628237323
172	0.5620924072
173	0.5614308365
174	0.5609778543
175	0.5602804109
176	0.5594488243
177	0.5587699079
178	0.5579519549
179	0.5574167995
180	0.5565779911
181	0.5558821338
182	0.5553618944
183	0.5546794008
184	0.5538099504
185	0.5530831811
186	0.5523836791
187	0.5521765418
188	0.5515648488
189	0.5510353965
190	0.5503761207
191	0.5498595597
192	0.5491888774
193	0.5487510475
194	0.5477931469
195	0.5471177064
196	0.5465808636
197	0.5457908867
198	0.5452694999
199	0.5444768908
200	0.5437468143
201	0.5429342609
202	0.542249675
203	0.5416466549
204	0.5410051973
205	0.5403262808
206	0.5401104706
207	0.5393283904
208	0.5387371816
209	0.5382966857
210	0.5376950493
211	0.5370011493
212	0.5361689215
213	0.5354875078
214	0.5348856351
215	0.5343424479
216	0.5335693444
217	0.5328784478
218	0.5321824218
219	0.5316552306
220	0.5309681474
221	0.530314811
222	0.5295855782
223	0.5290947997
224	0.5284844903
225	0.5278187013
226	0.5271601679
227	0.5265626822
228	0.5259015166
229	0.5253895451
230	0.5248221278
231	0.5243115737
232	0.5234650036
233	0.5229352139
234	0.5225117938
235	0.5217961272
236	0.5211595966
237	0.5205820215
238	0.5200176077
239	0.519513533
240	0.518775391
241	0.5183352663
242	0.5178416194
243	0.5172164277
244	0.5167218358
245	0.5162088182
246	0.5155291256
247	0.5148752154
248	0.5144888493
249	0.5138734779
250	0.5134244778
251	0.512669125
252	0.5121380867
253	0.5115258875
254	0.5111263939
255	0.5106276174
256	0.5104286805
257	0.5097647138
258	0.5091894673
259	0.5085325874
260	0.508111091
261	0.5075518404
262	0.5069027223
263	0.5062029841
264	0.5055813358
265	0.5051074981
266	0.5046743253
267	0.5041994415
268	0.5036067816
269	0.502729097
270	0.5021619497
271	0.5016666154
272	0.5011046313
273	0.5007646331
274	0.5002411203
275	0.4996430272
276	0.4991769176
277	0.4985627273
278	0.497903249
279	0.4974735858
280	0.4969665076
281	0.4961561139
282	0.4955269739
283	0.4949282059
284	0.4944652684
285	0.4940716467
286	0.4934779745
287	0.4929785568
288	0.4926629912
289	0.4920852812
290	0.4916064828
291	0.4909545299
292	0.4905098832
293	0.4899261325
294	0.4895516114
295	0.4889558131
296	0.4885508863
297	0.4880793096
298	0.4874781456
299	0.4869310438
