iter	Passed	Remaining
0	170	51118
1	184	27421
2	191	18991
3	200	14826
4	208	12326
5	215	10573
6	222	9307
7	230	8424
8	237	7664
9	245	7133
10	252	6620
11	264	6336
12	272	6018
13	279	5711
14	285	5429
15	294	5233
16	301	5012
17	310	4860
18	316	4680
19	325	4558
20	331	4408
21	344	4357
22	352	4239
23	363	4181
24	375	4125
25	383	4043
26	393	3982
27	401	3896
28	410	3836
29	416	3749
30	425	3694
31	431	3617
32	441	3568
33	447	3502
34	456	3453
35	463	3395
36	472	3357
37	481	3319
38	499	3342
39	510	3316
40	521	3296
41	533	3274
42	541	3234
43	548	3188
44	555	3150
45	562	3104
46	571	3074
47	577	3030
48	586	3003
49	592	2963
50	601	2937
51	609	2906
52	618	2881
53	624	2844
54	633	2823
55	639	2788
56	647	2762
57	654	2730
58	662	2707
59	670	2680
60	677	2655
61	684	2626
62	690	2598
63	697	2573
64	704	2546
65	711	2522
66	717	2496
67	723	2469
68	731	2449
69	738	2425
70	745	2404
71	752	2381
72	758	2359
73	765	2337
74	771	2315
75	779	2296
76	786	2277
77	793	2259
78	800	2239
79	811	2230
80	819	2214
81	830	2209
82	839	2194
83	851	2190
84	864	2187
85	876	2180
86	887	2173
87	898	2164
88	904	2144
89	914	2132
90	920	2113
91	930	2102
92	937	2086
93	951	2084
94	970	2093
95	980	2083
96	989	2070
97	996	2054
98	1003	2037
99	1013	2027
100	1019	2009
101	1027	1995
102	1034	1978
103	1042	1964
104	1049	1948
105	1056	1933
106	1062	1916
107	1068	1899
108	1075	1885
109	1082	1869
110	1089	1854
111	1095	1839
112	1102	1825
113	1110	1811
114	1116	1796
115	1123	1782
116	1129	1767
117	1136	1752
118	1143	1738
119	1149	1723
120	1158	1713
121	1164	1698
122	1171	1685
123	1177	1671
124	1183	1657
125	1191	1645
126	1199	1633
127	1206	1621
128	1213	1608
129	1220	1596
130	1227	1583
131	1233	1570
132	1241	1558
133	1247	1545
134	1254	1533
135	1261	1520
136	1267	1508
137	1274	1496
138	1280	1483
139	1288	1472
140	1295	1461
141	1304	1451
142	1312	1440
143	1319	1429
144	1325	1417
145	1332	1405
146	1339	1393
147	1345	1382
148	1353	1371
149	1359	1359
150	1366	1348
151	1372	1336
152	1380	1326
153	1388	1316
154	1397	1307
155	1406	1298
156	1413	1287
157	1422	1278
158	1430	1268
159	1440	1260
160	1450	1252
161	1459	1243
162	1467	1233
163	1475	1223
164	1482	1213
165	1491	1203
166	1498	1193
167	1507	1184
168	1514	1174
169	1521	1163
170	1528	1153
171	1537	1144
172	1543	1133
173	1553	1124
174	1564	1117
175	1574	1109
176	1584	1101
177	1600	1096
178	1609	1088
179	1619	1079
180	1625	1069
181	1637	1061
182	1643	1050
183	1653	1042
184	1660	1032
185	1670	1023
186	1676	1012
187	1685	1004
188	1691	993
189	1700	984
190	1707	974
191	1715	964
192	1722	955
193	1730	945
194	1736	934
195	1742	924
196	1750	914
197	1756	904
198	1765	895
199	1771	885
200	1780	876
201	1786	866
202	1792	856
203	1799	846
204	1806	837
205	1814	827
206	1820	818
207	1828	808
208	1834	798
209	1840	788
210	1848	779
211	1854	769
212	1861	760
213	1869	751
214	1875	741
215	1882	732
216	1888	722
217	1896	713
218	1902	703
219	1911	695
220	1918	685
221	1924	676
222	1933	667
223	1939	658
224	1947	649
225	1953	639
226	1961	630
227	1967	621
228	1975	612
229	1981	603
230	1987	593
231	1995	584
232	2001	575
233	2008	566
234	2014	557
235	2021	548
236	2031	539
237	2037	530
238	2045	521
239	2052	513
240	2060	504
241	2066	495
242	2073	486
243	2080	477
244	2086	468
245	2093	459
246	2100	450
247	2107	441
248	2113	432
249	2119	423
250	2128	415
251	2134	406
252	2142	398
253	2148	389
254	2155	380
255	2162	371
256	2168	362
257	2176	354
258	2182	345
259	2190	336
260	2196	328
261	2203	319
262	2210	310
263	2216	302
264	2225	293
265	2231	285
266	2239	276
267	2245	268
268	2251	259
269	2258	250
270	2265	242
271	2272	233
272	2279	225
273	2285	216
274	2292	208
275	2298	199
276	2306	191
277	2312	183
278	2321	174
279	2327	166
280	2333	157
281	2345	149
282	2351	141
283	2358	132
284	2364	124
285	2372	116
286	2378	107
287	2385	99
288	2391	91
289	2397	82
290	2406	74
291	2412	66
292	2420	57
293	2426	49
294	2432	41
295	2442	33
296	2448	24
297	2455	16
298	2463	8
299	2471	0
